Codigo_Mat;Material;Grupo ;Ing1;Ing2;Ing3;Almacen;Total;Unidad_Med
1000182;TEE NOVAFORT 250MM X 160MM;1300;0;0;0;0;0;UN
1000183;YEE NOVAFORT 200MM X 160MM;1300;0;0;0;0;0;UN
1000184;HIDROSELLO NOVAFORT 160MM;2950;0;0;0;0;0;UN
1000185;HIDROSELLO NOVAFORT 200MM;2950;0;0;0;0;0;UN
1000186;HIDROSELLO NOVAFORT 250MM;2950;0;0;0;0;0;UN
1000187;HIDROSELLO NOVAFORT 315MM;2950;0;0;0;0;0;UN
1000188;HIDROSELLO NOVAFORT 355MM;2950;0;0;0;0;0;UN
1000189;HIDROSELLO NOVAFORT 400MM;2950;0;0;0;0;0;UN
1000190;HIDROSELLO NOVAFORT 450MM;2950;0;0;0;0;0;UN
1000191;HIDROSELLO NOVAFORT 500MM;2950;0;0;0;0;0;UN
1000192;TUBERIA PEBD PE40 16MM PN10;1000;0;0;0;0;0;M
1000193;TUBERIA PEBD PE40 20MM PN10;1000;0;0;0;0;0;M
1000194;TUBERIA PEBD PE40 25MM PN10;1000;0;0;0;0;0;M
1000195;TUBERIA PEBD PE40 32MM PN10;1000;0;0;0;0;0;M
1000196;TUBERIA PEAD PE100 63MM PN10;1000;0;0;0;0;0;M
1000197;TUBERIA PEAD PE100 90MM PN10;1000;0;0;0;0;0;M
1000198;TUBERIA PEAD PE100 110MM PN10;1000;0;0;0;0;0;M
1000199;TUBERIA PEAD PE100 160MM PN10;1000;0;0;0;0;0;M
1000200;TUBERIA PEAD PE100 200MM PN10;1000;0;0;0;0;0;M
1000201;TUBERIA PEAD PE100 250MM PN10;1000;0;0;0;0;0;M
1000202;TUBERIA PEAD PE100 315MM PN10;1000;0;0;0;0;0;M
1000203;TUBERIA PEAD PE100 355MM PN10;1000;0;0;0;0;0;M
1000204;TUBERIA PEAD PE100 400MM PN10;1000;0;0;0;0;0;M
1000205;TUBERIA PEAD PE100 50MM PN16;1000;0;0;0;0;0;M
1000206;TUBERIA PEAD PE100 90MM PN16;1000;0;0;0;0;0;M
1000207;TUBERIA PEAD PE100 110MM PN16;1000;0;0;0;0;0;M
1000208;TUBERIA PEAD PE100 160MM PN16;1000;0;0;0;0;0;M
1000209;TUBERIA PEAD PE100 200MM PN16;1000;0;0;0;0;0;M
1000210;TUBERIA PEAD PE100 250MM PN16;1000;0;0;0;0;0;M
1000211;SILLETA  TERMOFUSION 63MM X 16MM;1300;0;0;0;0;0;UN
1000212;SILLETA TERMOFUSION 63MM X 20MM;1300;0;0;0;0;0;UN
1000213;SILLETA TERMOFUSION 90MM X 16MM;1300;0;0;0;0;0;UN
1000214;SILLETA TERMOFUSION 90MM X 20MM;1300;0;0;0;0;0;UN
1000215;SILLETA TERMOFUSION 90MM X 25MM;1300;0;0;0;0;0;UN
1000216;SILLETA TERMOFUSION 110MM X 16MM;1300;0;0;0;0;0;UN
1000217;SILLETA TERMOFUSION 110MM X 20MM;1300;0;0;0;0;0;UN
1000218;SILLETA TERMOFUSION 110MM X 25MM;1300;0;0;0;0;0;UN
1000219;SILLETA TERMOFUSION 160MM X 16MM;1300;0;0;0;0;0;UN
1000220;SILLETA TERMOFUSION 160MM X 20MM;1300;0;0;0;0;0;UN
1000221;SILLETA TERMOFUSION 160MM X 25MM;1300;0;0;0;0;0;UN
1000222;SILLETA TERMOFUSION 200MM X 16MM;1300;0;0;0;0;0;UN
1000223;SILLETA TERMOFUSION 200MM X 20MM;1300;0;0;0;0;0;UN
1000224;SILLETA TERMOFUSION 200MM X 25MM;1300;0;0;0;0;0;UN
1000225;SILLETA TERMOFUSION 250MM X 16MM;1300;0;0;0;0;0;UN
1000226;SILLETA TERMOFUSION 250MM X 20MM;1300;0;0;0;0;0;UN
1000227;SILLETA TERMOFUSION 250MM X 25MM;1300;0;0;0;0;0;UN
1000228;CODO TERMOFUSION PE100 63MM X 90  PN 10;1300;0;0;0;0;0;UN
1000229;CODO TERMOFUSION PE100 90MM X 90  PN 10;1300;0;0;0;0;0;UN
1000230;CODO TERMOFUSION PE100 110MM X 90  PN 10;1300;0;0;0;0;0;UN
1000231;CODO TERMOFUSION PE100 160MM X 90  PN 10;1300;0;0;0;0;0;UN
1000232;CODO TERMOFUSION PE100 200MM X 90  PN 10;1300;0;0;0;0;0;UN
1000233;CODO TERMOFUSION PE100 250MM X 90  PN 10;1300;0;0;0;0;0;UN
1000234;CODO TERMOFUSION PE100 315MM X 90  PN 10;1300;0;0;0;0;0;UN
1000235;CODO TERMOFUSION PE100 400MM X 22.5  PN;1300;0;0;0;0;0;UN
1000236;CODO TERMOFUSION PE100 400MM X 11.25  PN;1300;0;0;0;0;0;UN
1000237;CODO TERMOFUSION PE100 400MM X 90  PN 10;1300;0;0;0;0;0;UN
1000238;CODO TERMOFUSION PE100 355MM X 90  PN 10;1300;0;0;0;0;0;UN
1000239;CODO TERMOFUSION PE100 63MM X 45  PN 10;1300;0;0;0;0;0;UN
1000240;CODO TERMOFUSION PE100 90MM X 45  PN 10;1300;0;0;0;0;0;UN
1000241;CODO TERMOFUSION PE100 110MM X 45  PN 10;1300;0;0;0;0;0;UN
1000242;CODO TERMOFUSION PE100 200MM X 45  PN 10;1300;0;0;0;0;0;UN
1000243;CODO TERMOFUSION PE100 250MM X 45  PN 10;1300;0;0;0;0;0;UN
1000244;CODO TERMOFUSION PE100 315MM X 45  PN 10;1300;0;0;0;0;0;UN
1000245;CODO TERMOFUSION PE100 400MM X 45  PN 10;1300;0;0;0;0;0;UN
1000246;CODO TERMOFUSION PE100 160MM X 45  PN 10;1300;0;0;0;0;0;UN
1000247;CODO TERMOFUSION PE100 355MM X 45  PN 10;1300;0;0;0;0;0;UN
1000248;CODO TERMOFUSION PE100 63MM X 90  PN 16;1300;0;0;0;0;0;UN
1000249;CODO TERMOFUSION PE100 90MM X 90  PN 16;1300;0;0;0;0;0;UN
1000250;CODO TERMOFUSION PE100 110MM X 90  PN 16;1300;0;0;0;0;0;UN
1000251;CODO TERMOFUSION PE100 160MM X 90  PN 16;1300;0;0;0;0;0;UN
1000252;CODO TERMOFUSION PE100 200MM X 90  PN 16;1300;0;0;0;0;0;UN
1000253;CODO TERMOFUSION PE100 250MM X 90  PN 16;1300;0;0;0;0;0;UN
1000254;CODO TERMOFUSION PE100 315MM X 90  PN 16;1300;0;0;0;0;0;UN
1000255;CODO TERMOFUSION PE100 400MM X 90  PN 16;1300;0;0;0;0;0;UN
1000256;CODO TERMOFUSION PE100 400MM X 11.25  PN;1300;0;0;0;0;0;UN
1000257;CODO TERMOFUSION PE100 400MM X 22.5  PN;1300;0;0;0;0;0;UN
1000258;CODO TERMOFUSION PE100 355MM X 90  PN 16;1300;0;0;0;0;0;UN
1000259;CODO TERMOFUSION PE100 63MM X 45  PN 16;1300;0;0;0;0;0;UN
1000260;CODO TERMOFUSION PE100 90MM X 45  PN 16;1300;0;0;0;0;0;UN
1000261;CODO TERMOFUSION PE100 110MM X 45  PN 16;1300;0;0;0;0;0;UN
1000262;CODO TERMOFUSION PE100 200MM X 45  PN 16;1300;0;0;0;0;0;UN
1000263;CODO TERMOFUSION PE100 250MM X 45  PN 16;1300;0;0;0;0;0;UN
1000264;CODO TERMOFUSION PE100 315MM X 45  PN 16;1300;0;0;0;0;0;UN
1000265;CODO TERMOFUSION PE100 400MM X 45  PN 16;1300;0;0;0;0;0;UN
1000266;CODO TERMOFUSION PE100 160MM X 45  PN 16;1300;0;0;0;0;0;UN
1000267;CODO TERMOFUSION PE100 355MM X 45  PN 16;1300;0;0;0;0;0;UN
1000268;TEE TERMOFUSION PE100  63 MM PN10;1300;0;0;0;0;0;UN
1000269;TEE TERMOFUSION PE100 90 MM PN 10;1300;0;0;0;0;0;UN
1000270;TEE TERMOFUSION PE100 110 MM PN 10;1300;0;0;0;0;0;UN
1000271;TEE TERMOFUSION PE100 160 MM PN 10;1300;0;0;0;0;0;UN
1000272;TEE TERMOFUSION PE100 200 MM PN 10;1300;0;0;0;0;0;UN
1000273;TEE TERMOFUSION PE100 250 MM PN 10;1300;0;0;0;0;0;UN
1000274;TEE TERMOFUSION PE100 315 MM PN 10;1300;0;0;0;0;0;UN
1000275;TEE TERMOFUSION PE100 355 MM PN 10;1300;0;0;0;0;0;UN
1000276;TEE TERMOFUSION PE100 400 MM PN 10;1300;0;0;0;0;0;UN
1000277;TEE TERMOFUSION PE100  63 MM PN16;1300;0;0;0;0;0;UN
1000278;TEE TERMOFUSION PE100 90 MM PN 16;1300;0;0;0;0;0;UN
1000279;TEE TERMOFUSION PE100 110 MM PN 16;1300;0;0;0;0;0;UN
1000280;TEE TERMOFUSION PE100 160 MM PN 16;1300;0;0;0;0;0;UN
1000281;TEE TERMOFUSION PE100 200 MM PN 16;1300;0;0;0;0;0;UN
1000282;TEE TERMOFUSION PE100 250 MM PN 16;1300;0;0;0;0;0;UN
1000283;TEE TERMOFUSION PE100 315 MM PN 16;1300;0;0;0;0;0;UN
1000284;TEE TERMOFUSION PE100 355 MM PN 16;1300;0;0;0;0;0;UN
1000285;TEE TERMOFUSION PE100 400 MM PN 16;1300;0;0;0;0;0;UN
1000286;TAPON TERMOFUSION PE 100 63 MM PN 10;1300;0;0;0;0;0;UN
1000287;TAPON TERMOFUSION PE100 90 MM PN10;1300;0;0;0;0;0;UN
1000288;TAPON TERMOFUSION PE100 110 MM PN10;1300;0;0;0;0;0;UN
1000289;TAPON TERMOFUSION PE100 160 MM PN10;1300;0;0;0;0;0;UN
1000290;TAPON TERMOFUSION PE100 200 MM PN10;1300;0;0;0;0;0;UN
1000291;TAPON TERMOFUSION PE100 250 MM PN10;1300;0;0;0;0;0;UN
1000292;TAPON TERMOFUSION PE100 315 MM PN10;1300;0;0;0;0;0;UN
1000293;TAPON TERMOFUSION PE100 355 MM PN10;1300;0;0;0;0;0;UN
1000294;TAPON TERMOFUSION PE100 400 MM PN10;1300;0;0;0;0;0;UN
1000295;TAPON TERMOFUSION PE 100 63 MM PN 16;1300;0;0;0;0;0;UN
1000296;TAPON TERMOFUSION PE100 90 MM PN16;1300;0;0;0;0;0;UN
1000297;TAPON TERMOFUSION PE100 110 MM PN16;1300;0;0;0;0;0;UN
1000298;TAPON TERMOFUSION PE100 160 MM PN16;1300;0;0;0;0;0;UN
1000299;TAPON TERMOFUSION PE100 200 MM PN16;1300;0;0;0;0;0;UN
1000300;TAPON TERMOFUSION PE100 250 MM PN16;1300;0;0;0;0;0;UN
1000301;TAPON TERMOFUSION PE100 315 MM PN16;1300;0;0;0;0;0;UN
1000302;TAPON TERMOFUSION PE100 355 MM PN16;1300;0;0;0;0;0;UN
1000303;TAPON TERMOFUSION PE100 400 MM PN16;1300;0;0;0;0;0;UN
1000304;PORTAFLANCHE TERMOF PE100 63MM PN 10;1300;0;0;0;0;0;UN
1000305;PORTAFLANCHE TERMOF PE100 90MM PN 10;1300;0;0;0;0;0;UN
1000306;PORTAFLANCHE TERMOF PE100 110MM PN 10;1300;0;0;0;0;0;UN
1000307;PORTAFLANCHE TERMOF PE100 160 MM PN 10;1300;0;0;0;0;0;UN
1000308;PORTAFLANCHE TERMOF PE100 200 MM PN 10;1300;0;0;0;0;0;UN
